id	pub_date	position	address	education	salary	company	rate	duration
13368	2022-04-09	工程师_0	北京/上海/深圳/杭州/广州/成都/武汉/南京/西安/厦门/三亚/重庆	本科	13.5	字节跳动	0.72	1
13369	2022-04-14	开发岗_0	上海	学历不限	6.8	上海张江发展战略研究院	1	1
13370	2022-04-12	策划岗_0	上海	学历不限	4.5	博思软件	0.99	43
13371	2022-05-12	其他_0	北京	本科	7.5	滴滴	0.91	7
13372	2022-04-07	开发岗_0	深圳	学历不限	4.5	字节跳动	0.97	68
13373	2022-04-07	开发岗_0	广州/北京/上海/深圳/杭州/南京/成都/厦门/武汉/西安	本科	13.5	字节跳动	0.97	68
13374	2022-05-15	开发岗_0	成都/北京/上海/广州/深圳/杭州/南京/武汉/厦门	本科	13.5	字节跳动	0.97	68
13375	2022-03-30	其他_0	深圳	硕士	9.0	云鲸智能	0.98	1
13376	2022-04-20	其他_0	北京/上海/广州/深圳/杭州/成都	本科	8.3	网易有道	0.99	8
13377	2022-04-07	开发岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉/西安	本科	13.5	字节跳动	0.97	68
13378	2022-03-07	其他_0	北京/成都/上海	本科	4.5	美团	0.99	1
13379	2022-03-21	开发岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉/西安	本科	13.5	字节跳动	0.97	68
13380	2022-04-08	数据岗_0	北京/上海/深圳/杭州/南京	本科	13.5	字节跳动	0.97	68
13381	2022-04-14	其他_0	上海/北京/广州/深圳/杭州/成都	本科	7.2	Shopee	0.99	8
13382	2022-03-07	开发岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉/西安/合肥/长沙/三亚/重庆/天津/哈尔滨/长春/沈阳/大连/南昌/济南/郑州/南宁/昆明/兰州	本科	13.5	字节跳动	0.97	68
13383	2022-03-20	开发岗_0	北京/上海/深圳/杭州	本科	13.5	字节跳动	0.97	68
13384	2022-04-15	开发岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉/西安	本科	4.5	字节跳动	0.97	68
13385	2022-03-28	开发岗_0	上海	本科	7.1	又为智能	0.5	7
13386	2022-03-21	其他_0	上海	本科	4.5	上海科通实业有限公司	0.99	1
13387	2022-05-12	开发岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉/西安	本科	13.5	字节跳动	0.97	68
13388	2022-03-15	开发岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉/西安	本科	13.5	字节跳动	0.97	68
13389	2022-05-14	开发岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉/西安	本科	13.5	字节跳动	0.97	68
13390	2022-03-23	开发岗_0	上海	学历不限	6.8	上海张江发展战略研究院	1	1
13391	2022-05-14	开发岗_0	北京/上海/广州/深圳/杭州/南京/成都/厦门/武汉/西安	本科	13.5	字节跳动	0.97	68
13392	2022-03-30	其他_0	北京	本科	7.5	滴滴	0.91	7
13393	2022-03-05	开发岗_0	北京	学历不限	13.5	字节跳动	0.99	64
