类型,商品,到手价,佣金率,佣金,已售量,商品结束时间,近2小时销售量,近24小时销售量,店铺信息,描述相符,物流服务,服务态度,当前时间
美妆,DIW香港医学研究院美白氨基酸洗面奶清洁淡斑洁面乳150g-d,49.9,55.00%,27.44,已售：17,结束：2023-09-01,,,DIW旗舰店,4.09,4.6,,2023-04-18 21:49:50.275
美妆,俊平氨基酸洁面慕斯温和清洁洗面奶泡沫绵密全肤质通用甜橙香气,79,22.00%,17.38,已售：13,结束：2023-12-31,,,俊平旗舰店,4.91,3.56,,2023-04-18 21:49:50.352
美妆,男士护肤水乳套装小杨哥洗面奶爽肤水保湿补水控油旗舰店官方正品,39.9,20.00%,7.98,已售：54,结束：2023-05-31,1,,Algn爱兰歌娜个护用品旗舰店,4.89,4.99,,2023-04-18 21:49:50.436
美妆,【C魅甄选】小浣熊欢乐总动员儿童宝宝物理防晒霜防紫外线隔离F,39.9,30.00%,11.97,已售：29,结束：2024-02-17,,,克拉湾优选店,4.92,4.78,,2023-04-18 21:49:50.526
美妆,婷美小屋时光之谜次抛精华液紧致胶原蛋白波色因（黑金系轻奢组）,476,40.00%,190.4,已售：0,结束：2023-04-30,,,婷美小屋官方旗舰店,4.66,4.63,,2023-04-18 21:49:50.622
美妆,再变 一片鸿羽国风草本纹身贴纸防水持久逼真男女款时尚镂空 R174,19,20.00%,3.8,已售：2591,结束：2024-03-01,16,,再变美妆旗舰店,4.8,4.96,,2023-04-18 21:49:50.721
美妆,berrisom贝丽馨清爽定妆喷雾  80ml 补水保湿细腻喷雾持久定妆,119,20.00%,23.8,已售：25,结束：2023-12-31,2,,Berrisom海外旗舰店,4.57,4.47,,2023-04-18 21:49:50.810
美妆,【男士专用】梵贞男士护肤劲透清爽三件套,29.9,30.00%,8.97,已售：155,结束：2023-06-01,,,雅娜精选店,4.79,4.89,,2023-04-18 21:49:50.901
美妆,【柏晶】高倍防晒霜 SPF50+++ 防水保湿不油腻隔离防晒伤护肤滋养,59.9,45.00%,26.96,已售：99,结束：2024-06-25,6,,星辉优选,4.59,4.76,,2023-04-18 21:49:50.997
美妆,【粉底+遮瑕+隔离】小银镜三色气垫霜持妆隔离中性干皮适用替换装,59.9,45.00%,26.96,已售：138,结束：2024-01-31,1,,三角形美妆专营店,4.94,4.96,,2023-04-18 21:49:51.096
美妆,【0皂基】欧华蔻氨基酸洁面慕斯温和洁净清洁补水保湿敏感可用,29.9,45.00%,13.46,已售：71,结束：2024-01-31,3,,欧美莲Ooumeilian官方旗舰店,4.9,4.9,,2023-04-18 21:49:51.198
美妆,【宠粉浮力】D.D.R魅惑釉彩皮包三色口红雾面易上色不易沾杯口红,29.9,35.00%,10.46,已售：3387,结束：2023-12-01,1,,稚优严选,4.79,4.51,,2023-04-18 21:49:51.295
美妆,T向日花发际线粉补发填充神器遮高额头防水防汗,49.9,25.00%,12.48,已售：63,结束：2023-12-31,,,向日花旗舰店,4.9,4.97,,2023-04-18 21:49:51.398
美妆,SHIMANG/诗芒正品宝莉伦敦香水淡香留香清新持久学生礼盒装花香,9.9,21.00%,2.08,已售：503,结束：2023-10-31,3,,诗芒香水店,4.3,4.91,,2023-04-18 21:49:51.499
美妆,麦欧丽 2支魅力色彩睫毛膏浓密卷翘不晕染定型防汗密齿刷头初学者,9.9,22.00%,2.18,已售：3897,结束：2023-12-31,19,,Myonly麦欧丽美妆旗舰店,4.92,3.27,,2023-04-18 21:49:51.612
美妆,【会变色的防晒】国妆特字 SPF50+水晶防晒喷雾 美白防汗防晒喷雾,9.9,22.00%,2.18,已售：297,结束：2024-02-29,,,欧嘉莱尼个人护理旗舰店,4.79,4.91,,2023-04-18 21:49:51.710
美妆,花之物语四件套女士香水套装持久淡香清新礼盒礼物套盒留香组合,29.9,26.00%,7.77,已售：181,结束：2023-10-29,,,祁麟优选,4.79,4.92,,2023-04-18 21:49:51.813
美妆,【9.9买一送一】身体素颜霜全身提亮肤色女持久防水保湿裸妆淡香,9.9,37.00%,3.66,已售：82,结束：2023-09-30,,,辛芙妮美妆个体店,4.43,4.83,,2023-04-18 21:49:51.920
美妆,茜茜公主香水经典香水持久留香50ML滋润舒缓女士学生清爽女人紧致,29.8,25.00%,7.45,已售：156,结束：2024-03-31,23,,SREREOTYE美妆旗舰店,4.4,4.92,,2023-04-18 21:49:52.028
美妆,【9.9三支】6味李子润唇膏保湿滋润日杂口红学生党素颜打底淡化,5.9,40.00%,2.36,已售：7.9万,结束：2023-12-01,18,,倾城美美妆专营店,4.64,4.76,,2023-04-18 21:49:52.127
美妆,【官方正品】玥之秘水晶防晒喷雾防紫外线通用防水防汗不假白高倍,49,20.00%,9.8,已售：763,结束：2023-05-31,,,玥之秘官方旗舰店,4.98,4.91,,2023-04-18 21:49:52.215
美妆,郭小妞拯救手残眼妆眉毛眼影假睫毛眼线修改棉棒棉签细便携清洁棒,5.8,20.00%,1.16,已售：223,结束：2024-08-01,,,GUOXIAONIU官方旗舰店,4.96,4.98,,2023-04-18 21:49:52.299
美妆,日本进口炭活净颜洁面膏男士洗面奶130g*1支,38.8,28.00%,10.86,已售：3163,结束：2023-10-01,,,福气生活馆,4.86,4.66,,2023-04-18 21:49:52.390
美妆,【粉丝专享】SHELOVES哑光雾面唇釉服帖不掉色不沾杯口红平价学生,36.8,50.00%,18.4,已售：3033,结束：2025-09-01,5,,小狸精选彩妆店,4.4,4.1,,2023-04-18 21:49:52.475
美妆,【懒人双子星】DUJIAN/度见浓密硬梗轻欧纯欲自嫁接仿真假睫毛,24.9,35.00%,8.72,已售：217,结束：2024-09-30,,,度见美妆旗舰店,4.66,4.97,,2023-04-18 21:49:52.595
美妆,【保湿M白抗衰】乳香精油+洋甘菊精油+玫瑰精油组合套装,459,40.00%,183.6,已售：73,结束：2023-12-31,1,,ZRZR旗舰店,4.99,4.98,,2023-04-18 21:49:52.690
美妆,泽芙雪乳酸铵角质修护乳全身脸部补水润肤身体乳润肤乳保湿乳面部,68,30.00%,20.4,已售：92,结束：2023-06-30,2,,康植美护肤小店,4.91,4.81,,2023-04-18 21:49:52.782
美妆,再变 涅槃的低吟手臂花臂半甲图案草本纹身贴纸防水持久男款R353,38,20.00%,7.6,已售：412,结束：2024-03-01,,,再变美妆旗舰店,4.8,4.96,,2023-04-18 21:49:52.871
美妆,双眼皮定型霜 网红自然持九隐形坊水大眼神器乳霜持久无痕防水,39.8,57.00%,22.69,已售：10,结束：2025-03-31,3,,梅梅美妆,4.76,4.89,,2023-04-18 21:49:52.962
美妆,【粉丝专享】黎芙莎绿茶清新补水喷雾 150ml/瓶,4.99,15.00%,0.75,已售：306,结束：2024-05-31,204,,海阁,4.63,4.77,,2023-04-18 21:49:53.064
美妆, 【粉丝福利 两盒起拍】 蓝铜胜肽补水紧致眼膜,3.98,16.00%,0.64,已售：7307,结束：2023-12-31,18,,铭睿严选,4.48,4.48,,2023-04-18 21:49:53.165
美妆,自然旋律绿茶净肤泥膜深层清洁面膜涂抹式控油男女士专用正品ins,55,30.00%,16.5,已售：4243,结束：2023-08-20,1,,自然旋律旗舰店,4.61,4.73,,2023-04-18 21:49:53.266
美妆,【5盒装】rnw去黑头鼻贴膜布导出液清洁黑头男士女士推荐通用正品,200,30.00%,60,已售：3,结束：2023-12-31,,,RNW如薇护肤旗舰店,4.96,4.71,,2023-04-18 21:49:53.370
美妆,卓旗德国剪鼻毛剪刀鼻毛修剪器男士小剪子圆头鼻孔进口不锈钢神器,13.9,20.00%,2.78,已售：131,结束：2023-04-30,11,,卓旗美妆工具旗舰店,4.95,4.71,,2023-04-18 21:49:53.470
美妆,【腾哥专享】asprriy汤姆逊防晒霜防紫外线防水防汗白管SPF50+++,329,55.00%,180.95,已售：4,结束：2023-07-31,1,,享珀雅美妆旗舰店,4.86,4.55,,2023-04-18 21:49:53.581
美妆,兰黛菁萃小棕瓶精华液水乳护肤品套装眼霜补水保湿化妆品全套礼盒,299,20.00%,59.8,已售：24,结束：2023-08-31,,,沐森美妆,4.59,4.78,,2023-04-18 21:49:53.679
美妆,芊小白OEU沁肌烟酰胺美白淡斑精华液保湿提亮肤色【30ml*2瓶】   ,59.9,50.00%,29.95,已售：8,结束：2024-06-30,,,芊小白旗舰店,4.9,4.99,,2023-04-18 21:49:53.789
美妆,【2支装】防晒霜隔离喷雾套装 隔离遮瑕三合一面部防紫外线SPF50+,19.9,50.00%,9.95,已售：85,结束：2024-04-30,16,,丽影美妆护肤个体店,4.91,4.56,,2023-04-18 21:49:53.928
美妆,YISUER力素头皮微针导入仪无痛微晶家用中胚层导入电动微针促渗仪,298,20.00%,59.6,已售：4,结束：2023-12-31,,,YISUER力素,4.44,4.14,,2023-04-18 21:50:03.684
美妆,V7素颜霜懒人隔离遮瑕提亮裸妆持久补水保湿莹润水光面霜50g,9.9,31.00%,3.07,已售：1188,结束：2023-12-31,7,,米乐唯美妆专营店,4.9,4.86,,2023-04-18 21:50:03.808
美妆,麦欧丽 3支魅力色彩眼线笔防水防汗持久不晕染细笔头速干流畅学生,9.9,22.00%,2.18,已售：5.5万,结束：2023-12-31,20,,Myonly麦欧丽美妆旗舰店,4.92,3.27,,2023-04-18 21:50:03.883
美妆,【主播专属】不易沾杯哑光丝绒口红显白唇膏防水正红色不易掉色,29.9,35.00%,10.46,已售：14,结束：2024-04-30,,,三角形美妆专营店,4.94,4.96,,2023-04-18 21:50:03.952
美妆,【直播专享 当天发货】寡肽动感冻干眼膜 ,65.9,45.00%,29.66,已售：6,结束：2024-04-30,,,英尼丝店铺,4.57,4.45,,2023-04-18 21:50:04.031
美妆,【秋冬必备】传奇润唇膏保湿补水防干温感变色修护不沾杯不掉色,24.9,51.00%,12.7,已售：3512,结束：2023-12-31,14,,可可护肤专营店,4.21,4.95,,2023-04-18 21:50:04.107
美妆,【达人专属】PHYTOTREE花仙树植物种子面霜50ml保湿修护涂抹护肤,39.9,37.00%,14.76,已售：24,结束：2023-12-31,2,,PHYTOTREE花仙树美妆旗舰店,4.16,4.65,,2023-04-18 21:50:04.186
美妆,【气垫+散粉.二合一套装】气垫cc霜 防水控油不卡粉不脱妆定妆粉,39,35.00%,13.65,已售：1.0万,结束：2026-05-07,5,,搏盈美妆专营店,4.85,4.9,,2023-04-18 21:50:04.271
美妆,AKF眼线笔胶笔液不晕染防水持久新手初学者极细卧蚕美容化妆品,29.9,27.00%,8.07,已售：5745,结束：2023-06-30,,,AKF瑞佑专卖店,4.77,4.07,,2023-04-18 21:50:04.349
美妆,【奶斯~9.9三支】冰棒唇蜜玻璃嘟嘟夏天唇彩透明学生水光镜面唇釉,6.99,25.00%,1.75,已售：116,结束：2023-04-30,6,,唯妮美妆专营店,3.64,4.93,,2023-04-18 21:50:04.437
美妆,【明星同款】不祛斑单免，祛斑霜美白黄淡斑老年斑男女通用提亮,88,50.00%,44,已售：6,结束：2024-04-10,,,安溪县凤城好消百货店,4.65,4.57,,2023-04-18 21:50:04.518
美妆,【粉丝福利】INTO YOU甜漾唇蜜水光口红糖浆唇蜜唇彩滋润水感显白,49,30.00%,14.7,已售：630,结束：2023-05-02,1,,INTOYOU美妆旗舰店,4.9,4.97,,2023-04-18 21:50:04.612
美妆,《娜比同款》Lovelykitten/爱丽喵自带梳睫毛夹太阳花新手女适用,9.9,35.00%,3.46,已售：1006,结束：2024-04-30,9,,lovelykitten旗舰店,4.92,4.51,,2023-04-18 21:50:04.700
美妆,莎曼莉菁纯臻颜焕亮洁面乳(清洁 控油 舒缓 泡沫 通用),19.9,40.00%,7.96,已售：1165,结束：2023-09-30,1,,林小丫护肤,4.98,4.91,,2023-04-18 21:50:04.796
美妆,ABC乳木果眼唇滋养卸妆湿巾 一布卸出水光肌,9.9,30.00%,2.97,已售：1604,结束：2023-12-31,6,,ABC爱妮个人护理专卖店,4.95,4.93,,2023-04-18 21:50:04.906
美妆,【粉丝福利】TVLV多肽鱼子酱抗皱眼霜滚珠式按摩眼霜30g,9.9,15.00%,1.48,已售：1.1万,结束：2028-03-01,,,欧束菲美妆旗舰店,4.91,4.76,,2023-04-18 21:50:04.995
美妆,【3支】健美创研眉笔女防水防汗自然持久不脱色超细极细头初学者,9.9,15.00%,1.48,已售：3294,结束：2023-05-31,26,,健美创研官方旗舰店,4.97,4.63,,2023-04-18 21:50:05.089
美妆,【宠粉专属】伴奏-水涟风荷彩妆套盒中国风禁欲系彩妆套装女神系,39.9,15.00%,5.98,已售：1.8万,结束：2023-12-01,3,,希诗梵美妆专营店,4.6,4.86,,2023-04-18 21:50:05.185
美妆,【爆款 】玛可安迪定妆喷雾持久保湿补水不脱妆 ,19.9,30.00%,5.97,已售：1339,结束：2023-07-27,5,,故事与她化妆品旗舰店,4.39,4.94,,2023-04-18 21:50:05.281
美妆,Cappuvini/卡泡维妮透明亚克力口红哑光雾面浪漫白桃乌龙学显白A0,14.9,40.00%,5.96,已售：29,结束：2023-06-30,1,,唯妮美妆专营店,3.64,4.93,,2023-04-18 21:50:05.383
美妆,韩后眼霜淡纹紧实改善眼袋黑眼圈精华液熬夜补水保湿清爽滋润眼部,29.9,25.00%,7.48,已售：123,结束：2023-06-30,11,,查曼美妆企业店,4.89,4.88,,2023-04-18 21:50:05.477
美妆,【专属福利】氨基酸温和净澈洁面乳 洗面奶清洁泡沫净颜完美日记 ,69,25.00%,17.25,已售：2452,结束：2025-04-11,8,,完美日记官方旗舰店,4.84,4.97,,2023-04-18 21:50:05.572
美妆,【9.9/3支】甜心唇釉雾面哑光不易掉色沾杯唇泥口红丝绒学生显白,9.9,12.00%,1.19,已售：6536,结束：2023-11-01,28,,倾城美美妆专营店,4.64,4.76,,2023-04-18 21:50:05.642
美妆,【雪大宝专属】OAC/欧可有点色腮红单色裸妆柔雾提亮气色显白丝滑,98,35.00%,34.3,已售：3.3万,结束：2023-06-30,199,,OAC欧可官方旗舰店,4.45,4.94,,2023-04-18 21:50:05.718
美妆,再变 思念猫草本纹身贴纸可爱小图案仿真防水持久逼真男女款 R364,12,20.00%,2.4,已售：924,结束：2024-03-01,17,,再变美妆旗舰店,4.8,4.96,,2023-04-18 21:50:05.798
美妆,格蒙蚕丝嫁接睫毛膏双管组合套装防水浓密持久不晕染纤长卷翘黑色,13.9,35.00%,4.86,已售：31,结束：2024-01-01,,,羞趣专营店,4.73,4.27,,2023-04-18 21:50:05.868
美妆,【9.9/3支 拍1发3】花花小熊哑光唇釉丝绒雾面泥学生素颜显白慕斯,9.9,20.00%,1.98,已售：1.3万,结束：2024-10-01,20,,倾城美美妆专营店,4.64,4.76,,2023-04-18 21:50:05.938
美妆,富勒烯富勒烯青春水漾保湿面膜补水保湿面膜通用,59,36.00%,21.24,已售：9,结束：2023-05-31,,,蒂锐雅护肤工作室,4.43,4.4,,2023-04-18 21:50:06.019
美妆,【适合痘痘肌】FulQun芙清祛痘舒缓精华液祛痘调理保湿控油-TZ,168,20.00%,33.6,已售：17,结束：2024-04-05,3,,芙清官方旗舰店,4.97,4.92,,2023-04-18 21:50:06.100
美妆,郭小妞双头遮瑕笔遮盖斑点修容眉毛专用卧蚕提亮眼部精准遮瑕笔刷,9.9,20.00%,1.98,已售：1649,结束：2023-06-30,,,GUOXIAONIU美妆旗舰店,4.91,4.96,,2023-04-18 21:50:06.187
美妆,化妆刷套刷全套正品修容刷子专业软毛超软眼影脸部修容腮红刷套装,39.9,30.00%,11.97,已售：41,结束：2024-03-31,,,卡露茜茜美妆旗舰店,4.48,4.47,,2023-04-18 21:50:06.263
美妆,【达人专属】优理氏玻尿酸补水喷雾大量200ml舒缓爽肤水4d水润,39.8,15.00%,5.97,已售：773,结束：2023-12-31,1,,优理氏护肤旗舰店,4.89,4.71,,2023-04-18 21:50:06.348
美妆,{官方直售}珐尔美森海茴香抗初老面膜5片装保湿紧致提拉舒缓修护,139,40.00%,55.6,已售：3,结束：2023-04-30,,,珐尔美森,3.9,4.78,,2023-04-18 21:50:06.463
美妆,【品牌推荐】自然堂男士喜马拉雅龙血爽肤水160ml保湿控油润肤  ,79,15.00%,11.85,已售：178,结束：2023-04-30,3,,自然堂男士旗舰店,4.99,4.86,,2023-04-18 21:50:06.576
美妆,玛丽安局部分段式睫毛夹小型送替换胶垫卷翘持久便携式定型新款,6.9,21.00%,1.45,已售：242,结束：2024-06-30,,,伊莲娜美妆店,4.69,4.96,,2023-04-18 21:50:06.666
美妆,ZMC/植美村红蓝管不脱妆裸色霜定妆BB补水滋润水润提亮亮肤裸妆,69,40.00%,27.6,已售：8,结束：2024-01-31,1,,隆加美甄选,4.64,4.75,,2023-04-18 21:50:06.761
美妆,Mistine蜜丝婷| 小蓝盾粉底液干皮遮瑕持久控油30g包邮,79,30.00%,23.7,已售：2136,结束：2023-07-31,2,,Mistine蜜丝婷小桥流水美妆专卖店,4.99,4.6,,2023-04-18 21:50:06.857
美妆,Cistto肤见安瓶养肤洁颜油卸妆油敏感肌清洁便携温和不刺激20粒,49.9,30.00%,14.97,已售：9918,结束：2023-06-30,5,,Cistto肤见官方旗舰店,4.95,4.98,,2023-04-18 21:50:06.951
美妆,神经酰胺B5多重修护精华液60片120g 保湿水润舒缓强屏障次抛精华,109,25.00%,27.25,已售：120,结束：2023-04-30,,,Haa美妆旗舰店,4.95,3.43,,2023-04-18 21:50:07.046
美妆,（达人专属）直播 馥碧诗粉饼定妆大白饼持久防水轻透控油不脱妆,109,30.00%,32.7,已售：9,结束：2023-12-31,5,,Fabloox美妆旗舰店,4.42,4.69,,2023-04-18 21:50:07.138
美妆,【爆款】夜间呵护唇膜去死皮淡化唇纹滋养补水弹润唇膏滋润修护,9.9,35.00%,3.46,已售：46,结束：2024-01-01,,,SR素儿美妆店,4.93,4.83,,2023-04-18 21:50:07.233
美妆, 【自然堂彩妆】自然堂一笔成型纤细持久眼线笔自然裸妆低晕染   ,45,15.00%,6.75,已售：408,结束：2023-06-30,,,自然堂官方旗舰店,4.95,4.98,,2023-04-18 21:50:07.324
美妆,【1元好物】美妆蛋 不卡粉干湿两用超软粉扑不吃粉细腻海绵不包邮,1,55.00%,0.55,已售：798,结束：2023-11-30,8,,梅梅美妆,4.76,4.89,,2023-04-18 21:50:07.397
美妆,复合酸胡萝卜泡沫面膜深层清洁保湿面部控油,29.9,30.00%,8.97,已售：86,结束：2024-12-28,16,,橦憬商行,4.96,4.79,,2023-04-18 21:50:07.485
美妆,魅点千鸟格保湿遮瑕气垫bb霜持久控油不卡粉不脱妆素颜学生党正品,19.9,30.00%,5.97,已售：31,结束：2023-04-30,,,嘉嘉严选小店,4.8,4.67,,2023-04-18 21:50:07.558
美妆,Eiio清洁泥膜奕沃净肤清洁小白泥面膜03-【达人专享】-QD        ,49,30.00%,14.7,已售：270,结束：2023-12-31,2,,EIIO奕沃官方旗舰店,4.97,4.97,,2023-04-18 21:50:07.628
美妆,【拍一发三赠送硅胶刷】臻雅小铺七子粉蛋壳面膜膏涂抹式草本配方,29.9,60.00%,17.94,已售：8765,结束：2024-01-31,,,俏恋人严选2号,4.24,4.41,,2023-04-18 21:50:07.705
美妆,麦欧丽4个美妆蛋（马口铁盒装）+金属支架干湿两用超柔软粉扑葫芦,9.9,18.00%,1.78,已售：9984,结束：2024-10-01,12,,Myonly麦欧丽美妆旗舰店,4.92,3.27,,2023-04-18 21:50:07.783
美妆,【爆款】夜间呵护唇膜去死皮淡化唇纹滋养补水弹润唇膏滋润修护,9.9,35.00%,3.46,已售：45,结束：2024-01-01,,,SR素儿美妆店,4.93,4.83,,2023-04-18 21:50:07.861
美妆,【拍一发二】胡萝卜净澈耀肌清洁面膜泡去角质温和修护收毛孔精选,19.9,40.00%,7.96,已售：22,结束：2024-04-30,,,菲奈儿化妆品工厂,4.81,4.91,,2023-04-18 21:50:07.938
美妆,【防晒＋隔离二合一】防晒霜SPF50PA+++隔离防晒防水防汗防紫外线,79.9,50.00%,39.95,已售：2,结束：2023-04-30,,,朵菲儿Duofeier化妆品企业店,3.86,4.72,,2023-04-18 21:50:08.012
美妆,益若翼视黄醇御龄龙血膏贵妇膏面霜护肤养颜滋润保湿滋养美容通用,8.6,25.00%,2.15,已售：475,结束：2025-03-04,,,胖胖的七号店,4.22,4.86,,2023-04-18 21:50:08.096
美妆,【拍一发三】净肤固体泥膜棒深层清洁毛孔祛黑头粉刺面膜,19.8,35.00%,6.93,已售：638,结束：2023-05-02,4,,黛诗欣美妆专营店,3.81,4.04,,2023-04-18 21:50:08.174
美妆,【达人专享】神秘博士二裂酵母精华发酵面膜 25ml?10片/盒 TZ,76,30.00%,22.8,已售：9,结束：2024-02-26,2,,神秘博士官方旗舰店,4.98,4.78,,2023-04-18 21:50:08.261
美妆,【松垂老纹】 乳香精油+玫瑰精油+依兰精油组合套装提拉紧致淡纹,399,40.00%,159.6,已售：62,结束：2023-12-31,,,ZRZR旗舰店,4.99,4.98,,2023-04-18 21:50:08.347
美妆,胶原蛋白奢润贵妇膏素颜霜一抹即亮肤遮瑕滋润修饰替代BB霜气垫,79,50.00%,39.5,已售：28,结束：2024-04-30,1,,菲奈儿化妆品工厂,4.81,4.91,,2023-04-18 21:50:08.447
美妆,ZRZR法国迷迭香精油10ml 面部单方精油脸部护肤紧致亮肤精华油,99,40.00%,39.6,已售：75,结束：2023-12-31,,,ZRZR旗舰店,4.99,4.98,,2023-04-18 21:50:08.547
美妆,SOLEHE/和风雨固体香膏香水大牌经典持久淡香潮流约会随身香体膏,48,30.00%,14.4,已售：101,结束：2023-10-12,3,,和风雨非凡个人护理专卖店,4.67,4.84,,2023-04-18 21:50:08.640
美妆,leezi莉兹燕窝肽修颜持妆粉底液遮瑕隐形毛孔自带定妆防水不脱妆,49.9,45.00%,22.46,已售：7,结束：2023-08-01,,,巧妹美妆专营店,4.74,4.67,,2023-04-18 21:50:08.728
美妆,香蕉粉饼控油定妆遮瑕持久半透明干粉蜜粉定妆粉控油柔焦粉饼学生,9.9,30.00%,2.97,已售：6439,结束：2024-05-17,46,,恒曦悦化妆品专营店,4.84,4.91,,2023-04-18 21:50:08.816
美妆,【两支组合装仅7.9】15%壬二酸凝胶加水杨酸祛痘膏去黑头粉刺闭口,7.9,45.00%,3.56,已售：2428,结束：2023-07-31,35,,哆啦A梦严选店,4.86,4.8,,2023-04-18 21:50:08.914
美妆,ROMESON/罗美诗【官方正品】花姬赏雪纱丝柔防晒乳30g,389,40.00%,155.6,已售：284,结束：2023-12-31,,,ROMESON罗美诗旗舰店,4.98,4.98,,2023-04-18 21:50:09.000
美妆,【爆款推荐】BQI自粘假睫毛 无需胶水磁石三秒佩戴一秒组合学生党,16.8,21.00%,3.53,已售：134,结束：2024-12-31,,,奥特瑞斯美妆专营店,4.41,4.98,,2023-04-18 21:50:09.077
